"","p_created_time","p_message","p_id","p_from_id","p_from_name","c_created_time","c_message","c_id","c_from_id","c_from_name"
"1","2019-07-15T13:30:13+0000","Whether you're investing in your child's future or your own... let your money work for you. http://ow.ly/XWwp50uK1da","160995133980392_2365218720224678","160995133980392","BB&T","2019-07-16T13:16:10+0000","Do you have any BB&T tee shirts available? As a retired BB&T employee, I would like to get a tee shirt before the name of BB&T is gone","2365218720224678_2367010540045496",NA,NA
"2","2019-07-15T13:30:13+0000","Whether you're investing in your child's future or your own... let your money work for you. http://ow.ly/XWwp50uK1da","160995133980392_2365218720224678","160995133980392","BB&T","2019-07-16T03:38:58+0000","Which financial institution do you recommend?","2365218720224678_2366319560114594",NA,NA
"3","2019-07-15T13:30:13+0000","Whether you're investing in your child's future or your own... let your money work for you. http://ow.ly/XWwp50uK1da","160995133980392_2365218720224678","160995133980392","BB&T","2019-07-16T14:30:52+0000","I've been with BBT since they bought out Bank Atlantic. I was grandfathered into no fee checking. Then I was charged $5 a month for quite a while. I have checking savings a d an IRA. I called the other week for a certified check I was told there will be a $10 fee. Now I see a $12 charge fo my service fee. I just called me Branch and left a message to either refund my $12 or you are losing a customer.","2365218720224678_2367117180034832",NA,NA
"4","2019-07-12T16:01:32+0000","Congratulations to Sidekix, Open Door Cafe and Miles Perret Cancer Services for winning this year's Lighthouse Spirit Award!","160995133980392_2360303794049504","160995133980392","BB&T","2019-07-13T14:47:45+0000","Thank you BB&T  for sponsoring  this program. Congratulations  all recipients.","2360303794049504_2361903560556194",NA,NA
"5","2019-07-12T16:01:32+0000","Congratulations to Sidekix, Open Door Cafe and Miles Perret Cancer Services for winning this year's Lighthouse Spirit Award!","160995133980392_2360303794049504","160995133980392","BB&T","2019-07-13T14:16:34+0000","So very happy to see Open Door Café here!!!","2360303794049504_2361857947227422",NA,NA
"6","2019-07-12T16:01:32+0000","Congratulations to Sidekix, Open Door Cafe and Miles Perret Cancer Services for winning this year's Lighthouse Spirit Award!","160995133980392_2360303794049504","160995133980392","BB&T","2019-07-13T13:48:28+0000","Congratulations to all! Thank you for including The Little White House in this elite group!","2360303794049504_2361814973898386",NA,NA
"7","2019-07-12T16:01:32+0000","Congratulations to Sidekix, Open Door Cafe and Miles Perret Cancer Services for winning this year's Lighthouse Spirit Award!","160995133980392_2360303794049504","160995133980392","BB&T","2019-07-13T10:28:06+0000","Best bank and best service.","2360303794049504_2361558077257409",NA,NA
"8","2019-07-12T16:01:32+0000","Congratulations to Sidekix, Open Door Cafe and Miles Perret Cancer Services for winning this year's Lighthouse Spirit Award!","160995133980392_2360303794049504","160995133980392","BB&T","2019-07-13T14:23:50+0000","Congratulations!","2360303794049504_2361867997226417",NA,NA
"9","2019-07-12T16:01:32+0000","Congratulations to Sidekix, Open Door Cafe and Miles Perret Cancer Services for winning this year's Lighthouse Spirit Award!","160995133980392_2360303794049504","160995133980392","BB&T","2019-07-13T12:56:40+0000","Congratulations","2360303794049504_2361739810572569",NA,NA
"10","2019-07-12T16:01:32+0000","Congratulations to Sidekix, Open Door Cafe and Miles Perret Cancer Services for winning this year's Lighthouse Spirit Award!","160995133980392_2360303794049504","160995133980392","BB&T","2019-07-13T12:14:05+0000","Thank you to all voters, and thank you BBT for your generosity and humanity!","2360303794049504_2361684897244727",NA,NA
"11","2019-07-12T16:01:32+0000","Congratulations to Sidekix, Open Door Cafe and Miles Perret Cancer Services for winning this year's Lighthouse Spirit Award!","160995133980392_2360303794049504","160995133980392","BB&T","2019-07-13T13:19:59+0000","Well done","2360303794049504_2361771697236047",NA,NA
"12","2019-07-12T16:01:32+0000","Congratulations to Sidekix, Open Door Cafe and Miles Perret Cancer Services for winning this year's Lighthouse Spirit Award!","160995133980392_2360303794049504","160995133980392","BB&T","2019-07-16T20:25:41+0000","Congratulations Miles Perret","2360303794049504_2367606443319239",NA,NA
"13","2019-07-12T16:01:32+0000","Congratulations to Sidekix, Open Door Cafe and Miles Perret Cancer Services for winning this year's Lighthouse Spirit Award!","160995133980392_2360303794049504","160995133980392","BB&T","2019-07-13T13:05:36+0000","Congratulations","2360303794049504_2361752210571329",NA,NA
"14","2019-07-12T16:01:32+0000","Congratulations to Sidekix, Open Door Cafe and Miles Perret Cancer Services for winning this year's Lighthouse Spirit Award!","160995133980392_2360303794049504","160995133980392","BB&T","2019-07-12T16:45:01+0000","We are so thankful and EXCITED to receive this honor! All the organizations nominated do amazing things! Thank you BB&T for your Lighthouse projects and for helping your communities! Congratulations to all nominees and to Miles Perret Cancer Services and Open Door Cafe!","2360303794049504_2360367400709810","2064404753819275","Sidekix"
"15","2019-07-12T16:01:32+0000","Congratulations to Sidekix, Open Door Cafe and Miles Perret Cancer Services for winning this year's Lighthouse Spirit Award!","160995133980392_2360303794049504","160995133980392","BB&T","2019-07-13T12:10:29+0000","Congratulations! So happy for Open Door Cafe!","2360303794049504_2361680247245192",NA,NA
"16","2019-07-12T16:01:32+0000","Congratulations to Sidekix, Open Door Cafe and Miles Perret Cancer Services for winning this year's Lighthouse Spirit Award!","160995133980392_2360303794049504","160995133980392","BB&T","2019-07-13T02:46:18+0000","Yay congratulations!!!!!<f0><U+009F><U+008E><U+0088><f0><U+009F><U+008E><U+0089>","2360303794049504_2361073223972561",NA,NA
